"iso","umd_tree_cover_extent_2000__ha","area__ha"
"LBN",5621.45643730648068814,19327.12103589093368752
"LBR",203688.50972375173000206,213831.91525510996321640
"LBY",14.9934668878797615,9584.56479420226597597
"LIE",1185.031217730913387984,1452.892717451866470744
"LKA",24586.42763938409032979,35187.26463605467460983
"LSO",47.39505459016275205,595.44615793775500471
"LTU",584510.867863098770637798,663304.262892039225016605
"LUX",31934.362845021120028799,37691.947113085506928699
"LVA",612285.793601709588415249,671633.082763370865886670
"MAR",34293.06010692014993147,419593.06471276758009361
"MCO",0.0,1.2304658032074651
"MDA",123372.297560983969055255,168909.651952892486954137
"MDG",2804.15713073403680046,7318.07286191562567996
"MEX",219903.42764287747221810,593538.21636611199696240
"MKD",32408.059517085765880724,43058.15089439954726054
"MLI",0.07571697800998264,12790.82699159716408879
"MMR",1566134.95497983069950514,2065091.72957060895551570
"MNE",68516.461728092238004666,74635.817594556081387655
"MNG",33145.72062844653812359,102222.129273145480984677
"MOZ",14649.71505920447634563,28297.80760072673136882
"MRT",0.0,1286.24546421246298978
"MWI",105691.07132936108566202,153133.39948625352663204
"MYS",9462278.55635592540729346,11452592.81279371834629266
"NAM",0.0,0.06766541582899306
"NCL",162.25894667822590474,404.76631855534294290
"NGA",269301.40043758615028661,640792.51326714992458657
"NIC",20909.39081461888111248,43325.49858386189935232
"NLD",306638.207330356988892704,495032.841880215762637195
"NOR",1954407.141714747581673269,2168581.213755913767235592
"NPL",5381.82661238066802359,14877.25947748402056313
"NZL",1674776.223071438434881470,2190826.988694488428100643
"OMN",0.0,7755.70145446784677651
"PAK",1576.53277889958451283,12260.94253025927360628
"PAN",97624.47401655028323379,136349.35994954222373997
"PER",85720.27628736333684527,132304.40933170753344986
"PHL",5267605.89422496453631331,6922527.38447555038106357
"PNG",404944.36396709750177134,487350.63414392802661116
"POL",6484663.299460384468664326,7565202.503981233348767560
"PRK",328871.553765457658062816,796023.938844924581010194
"PRT",583446.34484015422665084,1007149.790704707300830156
"PRY",374348.07231747343187536,786293.58231599942018252
"PSE",0.4593221769205729,53.06612253583545754
"ROU",1343633.427672403806668942,1690822.563418828975407663
"RUS",18946543.672120667306270484,26552962.626965692872953645
"RWA",99175.57944780770510977,291471.31245531121810723
"SEN",86.97498320806842863,10705.35403220951289027
"SLB",9128.61566427613144477,9958.39127713735780941
"SLE",39620.22480912421767570,48228.68255871866308599
"SLV",9086.47014158766519311,9618.49974881469365198
"SMR",0.0,4.070572465868056
"SOM",714.76920014002119674,34918.10699985620673835
"SRB",178345.71102040761642671,229291.064001859529938632
"SSD",11.20629990950846394,36.25912817429050675
"STP",627.83823039764177504,1570.1724677580420792
"SUR",1565.42332578058629750,2524.21962528214550510
"SVK",392646.317849497742319116,418437.370196262128643013
"SVN",234255.163447977686764170,261463.086678189372905624
"SWE",9637206.779025550248703021,10817567.778614531910165879
"SWZ",62871.15188899214561624,80097.50201373828706553
"SYR",8334.80658588139777729,99799.36394094187089650
"TGO",6313.96404851602365143,273940.77983276275957990
"THA",2691801.19710014649726022,5448743.51394466019430547
"TJK",26.174895918862838784,2777.91148288678387422
"TLS",16.41037465693467860,101.68459662639554041
"TTO",10796.07850014980361944,11202.99411640819653621
"TUN",32295.388136870814224334,216406.307712588953033985
"TUR",2842074.696417914353081532,3742706.84360825325796253
"TWN",579012.95143746600437197,777401.74367651405665718
"TZA",3425.87445789607312971,7188.83906939527455853
"UGA",5896.27669954408536730,8247.85940402850834587
"UKR",4267127.027414124164723356,6145943.942784430602166466
"URY",564471.66872800533279214,1617433.25850042032307100
"USA",21468139.418337477610443409,27084162.768950596111337755
"UZB",344.528031358461656415,18717.593185988120009954
"VEN",37022.51774431237398706,57862.67955461333601686
"VNM",2199429.78704582136588263,3668960.82384658089266635
"VUT",1324.83510467102083172,1339.03521529162831926
"XAD",372.61443557856395113,2385.14087470116268183
"XKO",8291.665106106333083879,9081.206612564878234249
"Z01",257304.91622499287045480,526445.03247218019870621
"Z04",0.0,63.30295223009869
"Z05",0.0,0.1990188680609809
"Z06",3984.4613635757992978,6287.49548041404556370
"Z07",23063.83204380304960880,34529.48689333257888949
"Z09",0.0,1.12336456777777756
"ZAF",1421429.96445782283211678,2370002.77629414093353145
"ZMB",13196.79767859704357637,21491.18092266447215398
"ZNC",4149.47634647498188169,16080.25683973955777494
"ZWE",55379.49036664820175080,68539.82316010376229900
