"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"MAF",2014,1.24491801987738735,0.0
"MAR",2014,1682.30794966869976948,504.45567842509304463
"MDA",2014,363.133211568385418338,1.798191492120225782
"MDG",2014,416681.96935276347231297,48899.29172651235223389
"MDV",2014,3.13358241356011296,0.0
"MEX",2014,170605.85458719711211733,9064.53238987460281259
"MKD",2014,1815.566311025828762473,102.392892640425323748
"MLI",2014,270.33774791043131937,0.0
"MMR",2014,331444.81376864917283502,1687.75697723385811428
"MNE",2014,1437.890896589494382103,138.840693980631463136
"MNG",2014,522.674249762365362060,215.959429707519607620
"MOZ",2014,200517.49933484555759919,1820.95735379690071114
"MSR",2014,0.29503028970811632,0.0
"MTQ",2014,156.71776232461102064,1.34059491125325532
"MUS",2014,531.75197548469704966,0.0
"MWI",2014,18594.16036210385413685,32.87496625948622734
"MYS",2014,646026.95448926657554005,19518.82395349330622267
"MYT",2014,1150.41332038266890445,2.40171855205783412
"NAM",2014,4.62370750142361158,0.0
"NCL",2014,2050.20134823931931173,540.05556226549670366
"NGA",2014,68637.27480485876995103,31.46091155889295868
"NIC",2014,75549.80909719953992745,1712.41417424695078562
"NLD",2014,875.261492539997752932,5.57751769807074667
"NOR",2014,39148.962182187586846762,574.001997380605350986
"NPL",2014,1161.81134214258137122,61.70117039359593044
"NZL",2014,79409.913663548651403508,2336.562160594805007184
"OMN",2014,0.0,0.0
"PAK",2014,34.82787293223198486,3.45380633717339422
"PAN",2014,14086.01586943427894439,487.88784634838300666
"PER",2014,205417.54904548005766018,7805.45994136260254150
"PHL",2014,102456.03463050251490420,1916.72027100149985829
"PLW",2014,93.85025781338432990,15.42872879053222613
"PNG",2014,105662.81982441343300454,2747.24186448506968176
"POL",2014,56279.525168334036992311,266.074331376037653948
"PRI",2014,871.41695121237066535,13.97724616984591981
"PRK",2014,10941.274987944664969535,2947.93340512455881084
"PRT",2014,60259.20772994698628352,10582.36270578770185042
"PRY",2014,345737.46521583505399731,7931.88433785863180269
"PSE",2014,1.17994385501953135,0.85256029393880217
"REU",2014,674.9838295004072404,0.0
"ROU",2014,19481.500647861323490320,167.351538698576510807
"RUS",2014,4489888.744478262231236338,3450542.784370164394410859
"RWA",2014,2889.66629898740675851,22.83605034117175200
"SDN",2014,5.6173984021500658,0.0
"SEN",2014,326.71520470969316345,0.14948610033311633
"SGP",2014,191.35197143343696803,0.76908933738382979
"SLB",2014,16939.46334454174575194,554.79994339363221966
"SLE",2014,161512.88403718687837033,108.01007539244846891
"SLV",2014,2319.72696400503149090,79.52674360836643759
"SMR",2014,0.16733727529296877,0.0
"SOM",2014,123.05745672545598446,1.38445944740458182
"SPM",2014,1.1652690544314235,0.0
"SRB",2014,4387.909462667266370474,156.168323325310342450
"SSD",2014,6750.71541138541630765,18.15228242107978033
"SUR",2014,14747.81610845635856365,1055.51333381124498635
"SVK",2014,17366.173988905780978709,73.78033637976128878
"SVN",2014,5385.639058474749022898,59.091968176169698865
"SWE",2014,242522.785719181802433636,9447.801080379526677200
"SWZ",2014,4961.09484488973996725,120.74260767656901272
"SXM",2014,0.21972204252278647,0.0
"SYC",2014,2.04983297647026927,0.45551883542860244
"SYR",2014,958.29433611947040583,443.91304313451108486
"TCA",2014,31.33730649768986390,0.78674581225151910
"TCD",2014,3000.66587315444557733,7.0074083038487426
"TGO",2014,2513.19679790372418462,0.0
"THA",2014,137591.96889053882573554,258.93200134522705323
"TJK",2014,0.78304298862847229,0.1799102286545139
"TKM",2014,0.90408410385416676,0.59742364510633690
"TLS",2014,1883.17035169669115926,65.82745555441894342
"TTO",2014,1569.45645896798390354,15.52101627467013989
"TUN",2014,2385.558622995057818670,1793.459783860729155134
"TUR",2014,22005.441487395410932556,1456.41368072656407641
"TWN",2014,1054.21148798205725238,11.81292064006835927
"TZA",2014,198220.56307520302926430,647.10301492600140583
"UGA",2014,54913.27884998397959623,5.61532558945268308
"UKR",2014,47187.210455651414345930,615.285025358064193161
