"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"TCA",2019,17.24336371313584796,5244.089455792799392
"TCD",2019,5058.9267387286368765,1484152.789006569661802
"TGO",2019,5187.66425017166376478,3060905.632115160783689
"THA",2019,129770.76351443515713760,83822586.866311757428593
"TJK",2019,0.059565943791232645,24.44788437123789
"TLS",2019,1501.46983487714269591,771958.917285215787002
"TTO",2019,658.35834211459086700,392723.891310898643130
"TUN",2019,573.516909584069241576,161715.892991032312295
"TUR",2019,39117.934327150237222759,13714904.2709156803492227
"TWN",2019,1426.27423970394513909,857662.831511396078316
"TZA",2019,142771.01357221259337640,51708241.665796574051370
"UGA",2019,63267.53282701135837222,29669798.465540492632152
"UKR",2019,45143.775820619753560921,19056657.6310750213716807
"URY",2019,14521.90103738390307380,10294249.2314442721891473
"USA",2019,2109922.026010733247398425,905511061.1512248779140162
"UZB",2019,17.6389015158984344,6714.7831416787224682
"VCT",2019,11.61693048892795313,7245.22746494582440
"VEN",2019,140698.91803586613726749,62126796.484118736024136
"VGB",2019,0.87699208941080737,350.530276030482518
"VIR",2019,19.58205995306641034,7769.597480987758906
"VNM",2019,216776.91393863607588186,168050215.987823215065246
"VUT",2019,251.57034171083492551,129464.226889998641449
"XAD",2019,1.3986241717925350,416.20210620949311
"XKO",2019,697.39945428252583588,392194.978073160803967
"Z01",2019,25.90482638726996946,15096.241410361198667
"Z06",2019,2.95767513256076396,969.167363825832739
"Z07",2019,5224.69299186992583156,2899180.599565387016885
"ZAF",2019,76139.96713459632999456,45498434.677890687270824
"ZMB",2019,124579.73697520781026581,45680278.311649331960453
"ZNC",2019,25.1274156027734353,8763.640705785854728
"ZWE",2019,11514.47862500640898793,6226192.482300130242752
"AFG",2020,36.58230789240671689,11409.236816046647264
"AGO",2020,247979.44341863601200328,86151528.612071716797869
"AIA",2020,0.14632985609049481,47.48156422402951
"ALA",2020,673.41128750938703048,206427.499708936283779
"ALB",2020,1116.970242067361590360,427420.4550687948532115
"AND",2020,27.49449198667968530,15127.835646112322336
"ARG",2020,197404.200989013426527336,51442894.9919606278102123
"ARM",2020,18.54296916338759027,7710.098101896106095
"ATG",2020,15.23599393617404188,5580.325020302746640
"AUS",2020,2356517.983653612959194985,563980104.6561007104138848
"AUT",2020,25940.408163143583113348,14782590.8225662986582826
"AZE",2020,22.774961494372836075,7822.708075389058629
"BDI",2020,1856.85177499982084796,1101856.698472467269804
"BEL",2020,5408.582106970413602516,3119755.6907455403984662
"BEN",2020,1603.04791630123536937,815003.929086378768228
"BES",2020,9.69795470649197093,4126.921343623419156
"BFA",2020,0.0,7470.072909759612295
"BGD",2020,21475.59137844705500558,12428756.646885983552760
"BGR",2020,4795.214784004511876240,2304899.3216800540529965
"BHS",2020,2696.17849708248312387,916960.494435264622368
"BIH",2020,1842.180257719705190743,948579.946686416171011
"BLR",2020,68932.175516464010112952,27661105.8311852460138176
"BLZ",2020,26721.58744571537008824,11858142.284515611125083
"BOL",2020,428902.86426320538892337,158918667.790028222702586
"BRA",2020,3290644.63117095967742717,1680953959.346622353077836
"BRB",2020,22.10970874015734049,7876.044015244088532
"BRN",2020,1166.42756850767152213,737966.661368956594500
"BTN",2020,1288.37448758953063190,705977.1890009689952495
"BWA",2020,1.81525809188368078,444.822903272026401
"CAF",2020,55136.83110016810488309,28600048.061660846121036
"CAN",2020,1195271.063623761955163869,370210212.2865110711307852
"CHE",2020,3927.99457476122195340,2433594.095269822508511
"CHL",2020,70568.259845053702563894,33738336.292488043000986
"CHN",2020,422361.069291498596698476,203155586.3443704946245200
"CIV",2020,248549.65606758043310686,148785173.120820513874564
"CMR",2020,202795.51540921707115266,133509584.640417352420003
"COD",2020,1310238.09473405445248682,862753803.509281440184210
"COG",2020,64540.48509085227014346,40526607.825846117348280
"COL",2020,324203.09775475912923938,193430580.099628189573970
"COM",2020,265.51162030653224504,139247.98608326356912
"CPV",2020,6.5394375064735244,0.0
"CRI",2020,8248.60491812551471059,5009544.584473287595966
"CUB",2020,12618.45341911080997416,5006595.0828570310488684
"CUW",2020,1.95612769982530369,610.60510249021313
"CYM",2020,8.57770746025173399,4805.443408038588498
"CYP",2020,33.19479004149955891,7943.064876723699368
"CZE",2020,100267.371244678090532158,56532061.342292549745664
"DEU",2020,186938.861286665884393308,113173336.2452712026127060
