"iso","umd_tree_cover_gain__ha"
"QAT",37.96315468056858096
"ROU",223889.441085355026711708
"RUS",37220538.011299658832612290
"RWA",16061.92342638924940492
"SAU",7571.68262256064480975
"SDN",216597.64993000140605065
"SEN",77187.54099288386517805
"SGP",1976.50814966564319886
"SLB",4916.71031064773472793
"SLE",102136.80735232421910431
"SLV",14647.30099302940467199
"SMR",19.06712567205512310
"SOM",4188.75474116341129875
"SPM",63.44454231282117963
"SRB",76226.662877448618359542
"SSD",1082860.96537505460002493
"SUR",23723.37316064929033953
"SVK",35801.626684406556618887
"SVN",7758.951905028379550206
"SWE",1671285.201330349752359697
"SWZ",23455.26855540066710437
"SXM",16.48019212719292673
"SYC",1.44203420977484814
"SYR",5710.70336512945606581
"TCA",63.76660102721353880
"TCD",256621.70176970954341243
"TGO",47900.30191568786681553
"THA",1842302.92704047757703991
"TJK",19711.832823918430076275
"TKM",419.046649561148066290
"TLS",11134.11914133996543465
"TTO",3320.42459689641101920
"TUN",10134.763207119321304733
"TUR",473795.374461120849127883
"TWN",29314.53569833732761774
"TZA",557201.91992365057946310
"UGA",185026.46872202192375456
"UKR",926363.916641818117248666
"UMI",4.4586986450336367
"URY",655683.48738544053973646
"USA",13986670.439332133708640648
"UZB",43148.999422877853585564
"VCT",126.81963699811633968
"VEN",491071.85071843131205657
"VGB",23.89673458256293443
"VIR",209.24081167112194756
"VNM",1004749.90877333641306215
"VUT",302.47863584211805405
"XAD",83.87230022320746796
"XKO",9291.695476320233351637
"YEM",7050.35444991239785801
"Z01",57483.71011195776485398
"Z03",0.18920239531467017
"Z05",0.13283390533854167
"Z06",16788.79230287919064374
"Z07",42891.85364371609019223
"Z09",0.7927448439615885
"ZAF",388240.21697275926242855
"ZMB",766936.09148196008291266
"ZNC",3256.78124206736823665
"ZWE",151868.70659244889424872
